question,answer
what are other possible early side effects from radiation therapy,other early side effects are usually specific to the site that receives the radiation for example radiation therapy to the head neck or parts of the digestive system can result in a loss of appetite mouth problems hearing problems nausea vomiting and diarrhea
can you have bursitis in the neck at the base of the head,no there are no bursas in this area but you can get neck pain for a variety of other reasons and causes it would be wise to see your medical provider so that you can be properly examined diagnosed and treated
what are common warts,common warts are local growths in the skin that are caused by human papillomavirus hpv infection although they are considered to be contagious it is very common for just one family member to have them in addition they often affect just one part of the body such as the hands or the feet without spreading over time to other areas
can untreated yeast infection lead to ringworm,no these are different fungi
how long would it take cancer to develop after hpv exposure,exposure to an infectious disease like hpv does not imply that you will even get it even if you develop hpv there is no certainty that you will develop a cancer many many years later but your risk is definitely higher
can a man be a carrier to a uti even if he does not exhibit any syptoms,men do not carry urinary tract infections and spread it to others but men can cause urinary tract infections by certain sexual practices
what do i do for salt poisoning i live 200 miles from the nearest er,hi as your not near an er just start drinking extra water may take a few days but its fluids you need if you can even through the night might mean urinating a lot but that is what is all about flushing your system out good luck
if you have genital herpes and take a bath with someone can they get it,water transmission would not be highly unlikely unless of course you are doing more than just bathing in that tub
will i have to pay a fine for not having insurance if i have va benefits,no if you are enrolled in va health care you meet the requirements of the health reform law for insurance coverage you will not be fined and you need not be concerned about having to enroll in any other type of health plan
we are currently on medicaid due to my income do i have to take my employer sponsored plan or can we stay on medicaid,if you are already covered by medicaid you can stay with the program
can iron supplements cause damage to teeth and discolor dentures,iron supplements can stain the teeth black they can do the same for dentures yes 100 true i am already sufferd by this experiment
my daughter in law is not feeling baby move due date is 2 days away is this normal,she should address this issue with her ob someone who knows her case and someone that can examine her today
what can i use for dark marks on my skin,your first approach is to consult with your physician in order to exclude any underlying medical causes for the darkening next work with a dermatologist that knows how to care for people with your skin type and color your dermatologist should implement a program that combines topical exfoliating treatments to facilitate greater preparation followed by skin brightening agents and an effective sun block
can you suggest an outstanding dental health insurance coverage can i obtain health insurance to cover breast cancer after surgery treatment,you would need to speak with an insurance agent in your state for recommendations on specific plans all health plans sold today will cover treatment for breast cancer
is there anything you can take to flush thc out of your system fast,no thc can be detected by modern drug testing blood urine and hair for quite some time the only way to be sure that thc does not show up on a drug screening test is to not use cannabis
i heard that hydrogen peroxide is good for your teeth is this true and how do you use it,diluted hydrogen peroxide can and has been used safely but it can also burn soft tissue like gums the tongue and palates i suggest you review using this method with your dentist or dental hygienist
can fibromyalgia affect the adrenal glands,fibro is known to affect the adrenal glands it causes more of an adrenal dysfunction where too much or too little stress hormones such as cortisol are released during stress to the body instead of the normal amounts in those without fm adrenal insufficiency has other causes and your doctor can review any questions or concerns regarding your adrenal glands
can an antibiotic through an iv give you a rash a couple days later,yes it can even after you have finished the prescription for antibiotics
can you get pregnant on the first day of your period from anal only,no if you just had anal it is not likely much semen got inside you and if you are on the first day of your period you have already ovulated and the lining is already shedding so nothing could implant but still be careful because your partner could have something you do not want
why see a renal specialists for high blood pressure,unilateral one sided renal disease renal artery stenosis is one of the few surgically correctable causes of high blood pressure rare but worth investigating
is it normal for a patient to have anxiety when having an uncurable severe illness,i have two types of multiple sclerosis have had it since i was 16 it is very normal to have anxiety do not let it overcome you though take charge as much as can handle and do not hesitate to ask for help good luck
can a 23 year old female take centrum silver women,yes vitaminmineral supplements taken as directed will not be harmful to you centrum silver for women is fine for an adult of your age
can metformin can be taken two hours before simvastatin,yes metformin can be taken two hours before simvastatin there are no specific considerations that need to be made with those two medications regarding the time of dosage they can be taken at the same time or separately
how do you prevent freckles and dark patches or age spots on the face are there any special skin treatments,avoid direct sunlight between the peak hours 11 a m to 2 p m sunblock is probably your best approach to avoid premature aging and dark spots your skin regimen should include steps to exfoliate and get rid of dead skin cells hydrate and rejuvenate with natural amino acids or peptides
why are some people losing their health insurance coverage,some plans are being cancelled because they do not comply with the new requirements of the law but there are new plans available so they will need to switch plans they will not lose insurance coverage
how long do dental bridges last,dental bridges can last 5 to 15 years and even longer with good oral hygiene and regular checkups it is not unusual for the life span of a fixed bridge to be over 10 years
after having my teeth cleaned i can only open my mouth a few inches and closing my mouth is painful what should i do,all of the symptoms you are experiencing are signs of infection and are a real emergency that can get worse i would get to a dentist as soon as possible these types of infections can be quite painful and end up with a hospitalization or worse
is there an otc version of latisse what is it called is it effective thanks,there are no over the counter versions of latisse there are products that call themselves eyelash conditioners but latisse is an fda approved product that contains a drug that would not be legally available in otc products the good news is that latisse is eye safe has fda approval and is highly effective for growing lashes
why do mosquito bites swell up to like 6 wide and hot to touch on me,because you are hypersensitive even allergic to the mosquito bites it would be wise for you to use an effectie mosquito repellant when they are about and have a good cortisone based cream to apply the bite sites an oral antihistamine may also help
can a person with tonsilitis play in snow,yes snow or cold weather will not cause illness or make an existing illness like tonsillitis worse
what is an icsi intracytoplasmic sperm injection,intracytoplasmic sperm injection icsi is a laboratory procedure in which sperm and eggs are retrieved from both partners a single sperm is injected directly into an egg then the fertilized egg is implanted into the woman is uterus
how soon after taking 1 day vaginal medicine for yeast infections can you pee without losing what is inside,that is a personal skill that i really can not help you with very much in most cases a vaginal suppository or cream should not be expelled when you urinate a woman has gotta pee you know
low grade fever lower abdominal pain motion frequent urination at night unable to digest food properly,appendicitis or could be ibs
what do abdominal symptoms feel like with anxiety disorder is 'epigastric rising' associated with anxiety disorder is a a term referencing an aura with epilepsy sometimes,hi have read through this link its got a whole list of symptoms this should give an idea of what is going on link just copy into google to the www to open and read hope this helps good luck
what is the best way to condition my skin before a cosmetic procedure,skin preparation is a very important part of many cosmetic procedures especially in darker skinned patients who may run the risk for post inflammatory hyperpigmentation darkening of the skin your physician may prescribe a combination of topical exfoliating agents along with skin brighteners in order to prepare your skin prior to your cosmetic procedure
how can i get rid of dark acne scars,a combination of glycolic or salicylic acid chemical peels topical hydroquinone a bleaching cream and topical tretinoin can help lighten dark scars
can apple cider vinegar help lower cholesterol,another promoted cholesterol lowering remedy is daily a dose of apple cider vinegar to date i have yet to see substantial evidence in the form of any clinical trial evidence that supports these claims
i just need dental coverage i have medicaremedicaid so where do i purchase dental insurance only,you would need to buy a private dental insurance plan you can go to websites such as ehealthinsurance com getinsured com or delta dental to search for insurance options link link link you can get more information about it at link
is there a better chance to get pregnant on your period,a better chance no you are more likely to get pregnant mid cycle when you are ovulating
i had a genital wart two years ago do i need to tell my current partner that i once had a wart,yes you should reveal any past history of stds it is only fair to tell your partner even if you no longer have symptoms of genital herpes you can still spread the disease
my pregnant wife took dhea my pregnant wife has been taking dhea thinking it was dha what do i do,tell the doctor asap
i am dieting but i feel very sluggish at times during the day is this normal,if you are not on a proper diet for your weight and current state of health you can have adverse effects such as fatiguesluggishness you may be on a diet that is too low in calories or not balanced in essential nutrients or you may have anemia i suggest that your diet and weight loss goals with a medical professional or nutritionist
my wife is taking effexor xr 75 mg is there a lower dosage available,yes effexor xr is also available as a 37 5 mg capsule and a 50 mg capsule
how do you define smart snacking,think of a snack as a mini meal which should be under 150 calories total snacks should be balanced like meals with sources of protein whole grain and fruits and vegetables such as low fat cheese with apple slices and whole grain crackers or low fat yogurt with a little granola sprinkled on top and some berries
i am a 70 year old who has medicare and mainecare do i need to apply for obamacare,no as long as you have medicare you do not need to take any additional steps
i am 24weeks pregnant with low laying placenta i have been told no intercourse can i do other stuff without penatration,you dont want to disturb the womb when you orgasm it contracts and could cause a shift it can be dangerous if you have a placenta preavia or abruption as its known its very dangerous for baby and really serious for you id just rest and wait until doc gives you the go ahead xxx good luck xxx
does a shot for your thyroid releive poison ivy and the itching,what kind of shot for your thyroid can you repost your question and be more specific
can i drink alcohol again in modration a day or 2 after having a colon polyp removed,if your doctor the one who removed the polyp tells you it is okay it is not possible to make this call blindly over the internet since we do not know the details of your particular case a simple phone call to his or her office will likely get you the patient specific answer you desire
does obamacare cover dependents up to age 26 under my dental plan my dependents are covered under my dental insurance plan provided by my employer,no dental plans are not included in the provision that allows adult children to stay on their parents' health plan
if a woman has bacterial vaginosis could her male partner be infected,hi tes he can carry it then pass it back but bv does have a habit of just reoccurring time and time again drives some women crazy spoils there sex lives but have a read through these all natural but as you will read some women swear by them link link link do hope these help you good luck
are men less prone to getting genital herpes than women and is it less severe than in women,both men and women can contract herpes equally women do have a larger area of the type of mucoid tissue that may make their outbreaks seem worse but basically herpes is herpes it is bad for both partners and the first outbreak is always the worst
i am having a sudden sharp chest pain that feels like my heart is being stabbed with needles could anxiety cause that,whenever anyone gets a pain in their heart it is always a good idea to immediately check with your doctor we can never assume this is either anxiety or panic until we have ruled out that it might be a medical problem true it might be panic or anxiety but please have it checked out
will lemon juice help acne,lemon juice is used to treat acne lemon juice as it is acidic works as chemical exfolliant but one must take care if their skin is sensitive use of dilutted lemon juice with rose water can be applied to acne spot
can u tell me if the e r would help me with panic attacks,not much you would be better off seeing your primary care medical provider or a psychiatrist to help you manage panic attacks
55 year old male after bending all day at work get burning and itching in groin no swelling or lumps,hi has your wife by any chance changed her washing powder brand lately you may be getting a reaction to if try buying and wearing some new briefs for a few days see if it clears up if so you know wear its coming from good luck
will taking multivitamins at night affect my sleep,taking a multivitamin at bedtime is fine and should not interfere with sleep patterns
what foods are good to eat when you have hyperthyroidism what foods should i avoid,hi as your answer is a bit involved have a read of this link link you should find its got most of the answers you need good luck hope it helps
how many calories does a 14 year old female need a day,calorie requirements depend on what this 14 year old female weighs as you know not all 14 year olds are the same size normally the amount of calories needed would be about 15 calories per pound of ideal body weight not their actual weight but how much they should weight at their height
i just had a hysterectomy and my mother is in the hospital with pneumonia should i visit her,yes assuming that her pneumonia is not contagious and she is permitted visitors
what are the best types of diet foods to snack on,the best types of diet foods to snack on are high in water and fiber content such as vegetables add a protein source to your snacks such as fat free milk or yogurt to help you feel fuller longer
is it safe to drink beer while taking a multi vitamin i am not an everyday drinker but on occasion,yes
why am i getting a rash or blisters in the area between my testicles and anus,hi could be your underwear is to tight or your getting a reaction from washing powder or liquids try going commando for few days see if it goes away if it does your know your answer good luck
if you had fifth disease when you were 3 yrs old can you get it again at age 15,many times fifth disease is misdiagnosed either now or when the child was three so i guess it would possible many people do not develop high enough antibodies to get lifelong immunity it is uncommon in teenagers and adults however but it happens for more information link
i just lost my job on oct 4 and will have health insurance until oct 31 if i am not re employed with health insurance by the 31st will i be fined,the part of the law that requires you to have insurance or pay a penalty does not take effect until january 1 2014 and you will have until march 31 2014 to be without insurance before you would be assessed a tax penalty
does the aca have provisions andor coverage for people on medicare to cover the 20 differential needed,the marketplaces are not for people with medicare to find medicare supplemental plans you will want to search on medicare gov is plan finder tool
can anxiety cause schizophrenia,the exact cause of schizophrenia is still being researched however scientists believe that this condition generally develops on account of genetic and environmental issues people with immediate or distant relatives suffering from this disorder are more likely to develop this condition as opposed to others
i have had the chicken pox for 2 months now at this point how do i get rid of them,chicken pox does not last two months so your diagnosis is not correct i suggest that you see a medical professional so that you can be properly evaluated and diagnosed
do you have to pay taxes on health plans in the health insurance marketplace at the end of the year or are they pre taxed like employer sponsored plans,plans purchased through the marketplaces are paid for with after tax dollars which is just one reason why employer sponsored plans are generally a better deal employers also cover 70 80 of your premiums however if your income qualifies you you may receive a tax credit which will lower your monthly health insurance premiums
how is hypothyroidism diagnosed,your doctor will ask you about your symptoms and do a physical exam then he or she will order blood tests to see how much thyroid hormone your body is making in addition your doctor may discover that you have hyperthyroidism while doing a test for another reason
can infected tonsils break apart and poison your blood stream,a peritonsillar abscess left untreated can cause serious and even fatal results
can you please tell me when is the best time to take blood presure pill am pm,that really depends on the type of blood pressure medication for instance if you took a diuretic at bed time you would be peeing all night some blood pressure medications can make you sleepy so bedtime would be best since i do not know what you are taking i would advise you to ask your medical provider or pharmacist for advice
since taking plavix i have an itchy rash developing on my chest arms and back is this normal,no the reaction you described would not be considered normal if you experience a rash from a medication you should contact your doctor immediately it could be a sign of an allergic reaction to the medication or a serious side effect
how long do i need to keep my broken toe buddy taped,it really depends on the severity of the fracture and which toe but four weeks should do it in most cases it is best to get this information from the medical provider who diagnosed you
if i dont start my period til 1017 but my pregnancy test today showed a very barely visible positive am i pregnant,more than likely but i would wait until you have missed your period and take another test to see if the results read more accurately false negatives occur more often but it is very rare to recieve a false positive even if the test result is faint it is still a positive
during second pregnancies how long before labor starts once you loss your plug,completely unpredictable
why does my legs get numb from my back pain in the l 3 l 4 l 5 and s 1 region,i do not know i have no way of examining you or ordering any diagnostic tests but it could be sciatic nerve compression perhaps due to a bad or degenerative disc you need an mri and a visit to a back specialist
i have dry sinuses what otc products will be the most helpful,saline nasal sprays or mists can be applied to the nasal cavity avoid sharing spray bottles with other members of the family there are many types of nasal sprays available in the otc aisle be sure to ask your pharmacist for help with product selection
symptoms of narrowing of disc in c4 c5 area,you will need to see your medical provider or a spine specialist neurologist for a properly examination and diagnostic tests
can i have sex after having the lining burned out,hi if you mean your womb if you have just had it done give it a couple of weeks then try but take it slowly and use lots of lubricant have fun good luck
i heard that if you use paper currency to snort drugs that the money can poison you or make you very ill is this true,no it is the drugs that you are snorting that can may you ill or poison you not the paper you use as a snorter paper money is not poisonous but spending it on drugs can certainly poison your body and empty your bank account
i am 35 weeks pregnant and having difficulty falling asleep is excedrin pm is safe to take during the third trimester,since you are 35 weeks pregnant excedrin pm is not safe due to the diphenhydramine component i would not advise using this product until you have discussed it with your healthcare provider
can i contract poison ivy in the winter,the oleoresin oil on the plant is very stable it can remain on those dead twigs that do not have leaves or be present on firewood garden tools etc you can most definitely get poison ivy or poison oak in the winter
i have a freckle the size of a pencil eraser it is round and recently changed colors on the outer edge should i worry,any new or changing lesions should be evaluated by your dermatologist
how does long term smoking impact oral health,for one smoking increases your risk of oral cancer other oral health consequences include delayed healing following tooth extraction and periodontal treatment increased bone loss within the jaw bad breath and tooth discoloration
when your lips turn blue and around your mouth turns blue is that high blood pressure,no that is not a sign of high blood pressure one can certainly have high blood pressure and not know it but blue lips are not a sign most people with high blood pressure do not have any symptoms or signs so get your blood pressure checked regularly anyway
72 year old mother has not had a bowel movement in 5 days what could it be what type of doctor treats,your mother may be experiencing constipation a primary care doctor can evaluate her symptoms and do a physical exam there are many possible causes of constipation some common causes are a medication side effect dehydration from inadequate water intake and thyroid problems here is a link to an article about constipation link take care
blood sugar over 500 kidneys shutting down body temp off the chart had flu like symptoms what could this be,apparently you have not been to a doctor then again how would you know your sugar is over 500 and your kidneys are shutting down like a full blown diabetic
does saw palmento help with breast enhancement,no this herb will not change the size of your breasts
i had some shots in my mouth when getting a crown i have pain iit is been 9 days now and i still can not open my mouth,call your dentist so that you can be examined again this is not normal
what is the maximum allowable daily dosage for acetaminophen,the maximum daily dose in a 24 hour time period for an adult is 4 000 mg
can i take ibuprofen while im taking naproxen,why they are both anti inflammatory drugs you should just pick one to simplify your life naproxen is twice a day or ibuprofen every six hours taking both may potentially increase side effects so my recommendation would be to stick to the one that seems to be helping
are there other risks to ulcerative colitis,severe infections can occur in the large intestine but they are uncommon ulcerative colitis is also associated with a higher risk of colon cancer for that reason doctors recommend frequent colonoscopy examinations your doctor may discuss other risks with you
i am trying to find specifics of united health care is platinum health insurance plan how can i do this,you can do that either by going directly to united or by going to your state is health insurance exchange to see the full range of plans being offered
a bioposy to remove a spot on my face found irregular cells present is it necessary to surgically remove these cells,i am sorry but you did not post sufficient information in order to answer this very patient specific question i do not know what kind of irregular cells or what the pathologist is suggesting if there is a concern about a possible skin cancer then yes those irregular cells may need to be excised at this point only your dermatologist can address this question
can a child under 18 get birth control with out parents permission,yes in some states if a child over the age 13 they can have confidential contraceptive services without parental consent or knowledge
can i still get pregnant even if i am taking a birth control pill lactating pill,hi there is a 1 chance of pregnancy why on the bc pill if you think you are pregnant just go get tested good luck
i have nausea hot flashes chills and sometimes i feel light headed what could this be do i need to see my doctor,hi i would go see your doctor get a blood test done for your hormones could the menopause kicking in a blood test will tell all hope this helps you good luck
what should i do if i suspect an overdose of citalopram,if overdose is suspected contact a poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center
what does grossly remarkable mean after a cat scan,are you sure this is not a typo a common term used for normal findings is grossly unremarkable if something was grossly remarkable there would be explanatory remarks
i lost 74 pounds and have wrinkled saggy skin what natural product can i use for collagen and elastin production,tretinoin contains compounds that have been shown to increase cell turnover and collagen formation unfortunately with severe weight loss there can be a loss of elasticity in your skin therefore you may want to discuss these problematic areas with your dermatologist or a plastic surgeon
i am 65 years old should i be seeing a family practice doctor or an internist,either one would be fine assuming the family practice provider is skilled in the care of older individuals usually and is someone that likes older patients internists tend to have more geriatric patients finding an honest compassionate caring and skilled medical provider that does not rush you out of the office and is a great listener is really your goal
can hepatitis c be passed from infected parent to unborn child,hi the chance they say is around 5 of passing it on see the link below it should help you the link link good luck
how many hydroco 7 5 can u take at one time,you can take the dosage that has been specifically prescribed for you by your medical provider not more
what can i do if my prenatal vitamin makes me nauseous,some prenatal vitamins can cause nausea in an already nauseous pregnant woman if your prenatal vitamins make you sick talk to your general practitioner he or she may be able to prescribe a different kind of prenatal vitamin for example chewable or liquid vitamins as opposed to those you swallow whole may be better tolerated by some women
can an infection in the inner ear cause fibromyalgia i have been diagnosed with vestibular lynbrith disorder i have tinnitus and hearing loss can that trigger fibromyalgia,no those are two very different disorders there are no known medical links
do you charge for your service on webmd,webmd in free expect for the adverstisers of course
have painful knots around my ears and in the back of my neck running a fever what are they very painful running fever getting chills sweeting they are on both sides,i can not examine you of course but these knots are most likely reactive lymph nodes you would need to see your medical provider to determine why this is happening
how can a complex cyst on the thyroid be diagnosed as benign just by ultra sound how can a complex cyst on the tyroid be diagnosed as benign by a ultra sound,it has been drained once and checked for four years it has recently gotten larger
do they make porcelain crowns for toddlers,porcelain crowns are a fairly expensive the more permanent procedure they require is not indicated for toddlers there are quicker more convenient procedures that can be performed in one visit for toddlers and children
what happens if you eat fish sticks that arent cooked all the way,they will be gross tasting but not likely to be harmful since i am a sushi eater raw fish is not something i tend to avoid
what are the symptoms of the common cold,signs and symptoms of a common cold may include runny nose cough congestion fever heaviness headache and watery eyes
can infants get strep throat,technically yes but it is very very uncommon i do not know what age infant you are talking about unfortunately
i have developed a receding gum line what can i do to address it,see your dentist for an evaluation there are terrific grafting procedures available to correct these problems gum tissue is the only barrier between bacteria and the bones that support your teeth so you need to have the correct amount of protection
why would a doctor prescribe atenolol to treat mild hypothyroidism just trying to gain a better understanding of this,i do not understand it either this is a beta blocker primarily used to lower blood pressure you would need to ask your doctor for hisher rationale
can masturbation using a bath faucet be harmful to your clitoris or vagina also how often is it normal and healthy to masturbate,the clitoris and vaginal opening is very sensitive and excessiverough masturbation using water or your hands can cause issues if you are not careful pleasuring oneself is normal and not considered harmful in any way the frequency in which you masturbate is really a personal preference
how do i know when it is time to stop treating my sinus infection at home and to see a doctor thank you,hi if your otc drugs are not doing it then now is the time to see your doctor and hope he can see you asap its the 11oc headaches that are the real killers i found out hard it for a coupe of years and not had one since good luck
i am 28 tubes tied a year ago period is 3 weeks late breasts sore morning sickness could i be pregnant,i am a redneck country boy with enough since and kids to let you know that yeap you could be pregnant that you should have been hog tied and burnt because the tubes can come untied
is it possible to get pregnant from swallowing or anal sex,no
im 44yrs old and if its safe to have another pregnancy after havin breast cancer chemo pulm embol was diagnose w copd,hi sorry but i think your body has been through enough if baby is are important to you just wait for your grandchildren to come along good luck
is lorazepam highly addictive,benzodiazepines like lorazepam can be addictive so it is very important to use them only as directed never take one if you do not have anxiety and never take more than your prescribed dosage
is it possible to be allergic to sperm,although rare some people develop an allergy to seminal fluid this can lead to local irritation andor systemic symptoms some medical centers are able to perform a desensitization procedure if seminal fluid allergy is diagnosed the procedure is a type of desensitization therapy similiar to allergy shots for pollen allergy
i dont have health insurance will shingles go away on their own since i am not on any medication,hi try looking on www earthclinic com on there you may find a herbal way out of shingles should be a cheaper way to go good luck
is the risk for heart disease reduced by lowering cholesterol,your risk for heart disease is lower when you have low total cholesterol and low ldl remember a higher hdl number is better however
can you get aids form breast milk i was sucking on a woman is breast and some milk came out and i swallowed it can you get aids for that,hi this might help you but get tested body fluids that can contain hiv include the followingblood including menstrual bloodsemen and possibly pre seminal fluid pre cumvaginal secretions and breast milk
what if anything can be taken for sinus congestion and sore throat when i am 9 weeks pregnant,hi google this nasal congestion sea salt water treatment its a very natural way to clear your sinus is and its drug free do hope this helps you good luck
what are the complications of anemia,hemoglobin has the important role of delivering oxygen to all parts of the body and carrying carbon dioxide back to the lungs so it can be exhaled out of the body if hemoglobin level is too low which is what happens in anemia this process may be impaired resulting in the body having low oxygen level hypoxia
what is cholesterol is relationship to heart disease,cholesterol is a fatty substance made by the body and found in some foods cholesterol is deposited in the arteries in coronary artery disease
can gallstones cause erectile dsyfunction,no there are no gallbladder penisbrain connections
is it possible to have ammonia and flu at same time,pneumonia and flu yes you can have both at the same time
are there pain medications available that do not make you constipated,any opioid pain medication can cause constipation milder pain medicines like ibuprofen or acetaminophen do not if you need to take opioid medications ask your medical provider about taking concurrent stool sofeners at the same time
can herpes go back dormant after an outbreak can herpes go back dormant after an outbreak,that is the nature of herpes once you have it you always have it but it goes immunologically dormant and can flair up again at a later time since i do not know the type of herpes you are discussing feel free to repost your message with more details
is it possible to get pregnant 7 days after your menstration,if you had unprotected sex it is always possible
what is the best way to treat a ear infection while breastfeeding,your question is a bit vague first it depends on the type of ear infection there are many different kinds if the breast feeding mother has a middle ear infection for example there are many safe antibiotics that can be used if the infant has a middle ear infection this can be safely treated as well
is oxybutynin in the family with diazepam,oxybutynin is a medication used for overactive bladder and urinary tract spasms it is not in the same class or family as diazepam benzodiazepine class they work differently and have different indications
is hand foot mouth disease the same as thrush is hand foot and mouth disease caused by the same virus as thrush would l lysine help this condition,no they are not the same hand foot and mouth disease is caused by a coxsackie virus thrush is caused by yeast l lysine would be worthless in treating either one hand foot and mouth disease will self resolve and does not require treatment thrush may also self resolve but there are prescription anti yeast medications that really help make it go away sooner
i can feel my brain moving around and i have not done anything such as jumping around or shaking my head is this normal,normal no but i am not able to offer you an explanation as to why you feel your brain is moving around the brain does not move inside the skull incidentally so what you are experiencing is just a sensation of movement see your medical provider if this feeling does not go away
can snoring cause a sore throat,yes snoring and mouth breathing can dry out the pharyngeal throat mucous membranes and this can cause the throat to be sore yes snoring can cause a sore throat this is a common problem among snorers
does a vasectomy cause heart disease later in life,no
should i be applying moisturizer to my neck will that help to prevent neck lines as i age,neck lines and sagging neck are common complaints most patients ignore their necks until they notice how aged their necks look the neck skin is fragile and requires more moisture than the face just like you moisturize your face you should be moisturizing you neck you will be glad that you did
what can a pregnant woman take for a cold,what cold medication can pregnant women take for sore throat
one who has medicare also needs a supplement is there help from ocare with our supplement,the affordable care act also called obamacare is not designed to help people purchase medicare supplement plans the health insurance marketplaces and the tax subsidies are for private health plans and people under the age of 65 who do not get insurance at work
i am allergic to cats and wonder if there is anything i can do so i can own one,it can be difficult when you are allergic to your pets a strategy to help symptoms related to pet allergy includes keeping the cat out of the bedroom during the day and night cat allergen accumulates in the bedroom if the cat spends time there
i have itching at the tip of my urethra i do not think my partner has an std should i be worried,it is not always possible to tell if your partner is infected with an std many patients do not know they are infected until they are tested if you have these concerns it is probably a good idea to be evaluated and if necessary put on therapy
how can i ease symptoms of an inguinal hernia untill surgery,your doctor will provide you with any recommended post operative pain medications you should not self medicate before any surgery and only take pain medication that is specifically prescribed to you by the surgeon
i had my uterus removed can i still get cervical cancer,i do not believe you have a cervix so thus you cannot get cervical cancer the cervix is usually removed with the uterus
does ambien show on a urinalysis,not unless the order specifically requests this drug for detection in most cases this sleeping pill is not included in routine tests to check for drugs of abuse
can ebola virus be transmitted by sexual intercrouse,yes
is pepcid ac a heartburn remedy,this is a great question you can ask your pharmacist since we know about over the counter products as well pepcid ac is for the relief of heartburn associated with acid indigestion and sour stomach and for the prevention of heartburn associated with acid indigestion and sour stomach brought on by certain foods and beverages
i have white film red tip tongue which is burning and very sore whole mouth hurts into throat do i need to see dr,i know this was posted a long time ago but i want to add that it could also be vincent is gingivitis or trench mouth becoming more common among stressed out college kids and many other people in the past two decades check with a doctor if it happens again
what does blood pressure of 123 over 101 with pul 75 mean,it means that you have an elevated diastolic blood pressure that may need treatment should it persist it is important to get several bp readings different times of the day different arms write them down and give the list to your medical professional many pharmacies have machines that will take your blood pressure or the pharmacist will do it for you
i have a smooth red rash on both sides of where testicals touch thigh by end of day it has a stinky film,hi it would be far better if you go find a dermatologist best place to get sorted out good luck ps try dabbing apple cider vinegar on the places 3 times a day
can an active sex life cause a yeast infection in females,yeast infections just happen active sex life or not i see just as many yeast infections in babies and children as i do adults some people are just more prone to yeast
what can you do if your teeth have stains after your braces are removed,the best thing to do is get a cleaning and have any residual stains looked at by your general dentist many stains may need further polishing or whitening in order for them to be removed
is infant soy formula safe,yes soy based formula from a reputable formula manufacturer is absolutely safe
will going through an x ray machine at the airport hurt my medications,no the machine will not denature any of your medications or interfere with their stability
what are the causes of secondary high blood pressure,five percent of people with hypertension have what is called secondary hypertension this means that the hypertension in these individuals is secondary to caused by a specific disorder of a particular organ or blood vessel such as the kidney adrenal gland or aortic artery
feel bloated tired and my uterus hurts when i walk and i have not had my period for two months could i be pregnant,hi yes you could that is if you have been having unprotected sex and not on any kind of bc so the best thing is to pop off and see your nice kind doctor and get a test done there and be examined he or she will know if you are hope this helps you good luck
it hurts to swallow on one side pressure in the ear same side possable sinus infection,could be i strongly advise you to go to your doctor
is there really any benefit to buying one product over another what ingredients are worth looking for in a product,the ingredients are the most important aspects of any moisturizer look for antioxidant vitamins a c and e in addition make sure you are using a sunscreen and exfoliants with an alpha hydroxy acid aha some companies may not put enough of the ingredients in to make a difference stick to the companies that you trust
can lisinopril cause bursitis,there is no significant evidence linking lisinopril with bursitis if you are experiencing pain or any other new symptoms you should consult your health care professional for an evaluation
how is lymphedema diagnosed,lymphedema is diagnosed after a careful evaluation of your medical history including past surgeries and treatments an evaluation of current medications and symptoms and a complete physical examination sometimes additional tests may be needed
why is my belly button poking out my belly button is starting to pop out on one side there is no pain or weird ssymptoms what could this be,you may have an umbilical hernia you will need to see your medical provider for a proper examination to be sure
what are the symptoms of acid reflux disease,sour stomach
is naproxen 500 mg anm a narcotic,naprosyn is not a narcotic it is a non steroidal anti inflammatory medication just like aleve similar to ibuprofen
what should i do if i suspect an overdose of hygroton,if overdose is suspected contact a poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center symptoms of overdose may include severe dizziness fainting
7 yr old grandaughter has small blisters all over back to butt and around front not itchy,without the ability to see those blisters first hand it would not be possible to offer any time of definitive answer as to what they area there are many possibilites i suggest that she be seen by her medical provider so she can be examined diagnosed and treated
what if a baby does not get a fever after recieving a vaccine is that considered to be an abnormality,no of course not fever is an individual response and not all infants or children get a fever after a vaccine
what are advantages and disadvantages of burning wet firewood,just some stupid crackpot putting ads in a health forum cant get anymore stupid that that what a big dummy
what i can i use to brighten my elbows they are very dark and they itch sometimes,hyperpigmentation or dark spots will respond to a combination of chemical peels that contain salicylic acid alpha hydroxy acids and skin brightening agents such as hydroquinone licorice extract or bearberry your physician will be able to implement a skin care regimen once any underlying medical causes are excluded
what should i do if i suspect an overdose of phenyl t,if overdose is suspected contact your local poison control center or emergency room immediately us residents can call the us national poison hotline at 1 800 222 1222 canada residents can call a provincial poison control center symptoms of overdose may include restlessness agitation fastpounding heartbeat severe headache seizures
